metric,ubt_median,pbt_median,pbt_over_ubt,log_ratio
chain_code_single_reads {quantile=0.5},596.0,506.0,0.8489932885906041,-0.16370399777788416
chain_code_single_reads {quantile=0.75},596.0,506.0,0.8489932885906041,-0.16370399777788416
chain_code_single_reads {quantile=0.95},596.0,506.0,0.8489932885906041,-0.16370399777788416
chain_code_single_reads {quantile=0.9999},596.0,506.0,0.8489932885906041,-0.16370399777788416
chain_code_single_reads {quantile=0.999},596.0,506.0,0.8489932885906041,-0.16370399777788416
chain_code_single_reads {quantile=0.99},596.0,506.0,0.8489932885906041,-0.16370399777788416
pathdb_clean_node_read,398884.0,341164.0,0.8552962766117468,-0.15630734771746088
filtermaps_maps_rendertime {quantile=0.75},1516559.75,1299681.625,0.8569933528830631,-0.15432511667690735
blobpool_pendwait {quantile=0.5},159.0,136.5,0.8584905660377359,-0.15257958759521706
pathdb_lookup_remove_time {quantile=0.5},11931.5,13814.5,1.1578175418011147,0.14653680352494405
txpool_reorgtime {quantile=0.95},1050103.8749999995,1211863.95,1.1540419751331747,0.14327054102334277
system_cpu_schedlatency {quantile=0.9999},14680064.0,16777216.0,1.1428571428571428,0.13353139262452257
chain_account_commits {quantile=0.5},10259.0,9005.5,0.8778146018130422,-0.13031986731060063
pathdb_gc_node_bytes,114336.0,100683.5,0.8805931640078366,-0.1271595485706551
rpc_duration_eth_getBalance_success {quantile=0.95},499986.1749999995,567084.2749999998,1.1341999106275296,0.12592747779998248
blobpool_resettime {quantile=0.75},244618.625,217155.375,0.8877303394212113,-0.11908725393055196
blobpool_pendwait {quantile=0.95},222.5,198.5,0.8921348314606742,-0.11413800147904977
blobpool_pendwait {quantile=0.9999},222.5,198.5,0.8921348314606742,-0.11413800147904977
blobpool_pendwait {quantile=0.999},222.5,198.5,0.8921348314606742,-0.11413800147904977
blobpool_pendwait {quantile=0.99},222.5,198.5,0.8921348314606742,-0.11413800147904977
chain_account_updates {quantile=0.95},18797138.5,21062398.0,1.1205108692474655,0.11378471456651801
chain_account_updates {quantile=0.9999},18797138.5,21062398.0,1.1205108692474655,0.11378471456651801
chain_account_updates {quantile=0.999},18797138.5,21062398.0,1.1205108692474655,0.11378471456651801
chain_account_updates {quantile=0.99},18797138.5,21062398.0,1.1205108692474655,0.11378471456651801
rpc_duration_eth_getTransactionCount_success {quantile=0.99},1369826.715000002,1533168.6300000027,1.1192427576505548,0.11265234740150039
chain_account_commits {quantile=0.75},16002.5,14310.0,0.8942352757381659,-0.11178636646566192
system_memory_frees,11289194776.0,10112802288.0,0.8957948275902792,-0.11004387929316799
system_memory_allocs,11573438752.0,10390644380.0,0.8978009563669569,-0.10780688740101559
blobpool_resettime {quantile=0.5},169868.75,152917.25,0.9002082490157842,-0.1051291546285376
chain_triedb_commits {quantile=0.5},155.25,172.0,1.107890499194847,0.10245775599986492
blobpool_resetwait {quantile=0.75},200.5,181.0,0.9027431421446384,-0.10231721548079818
rpc_duration_eth_getCode_success {quantile=0.99},1352834.8100000015,1498328.8900000018,1.107547557857415,0.10214816364716559
rpc_duration_all {quantile=0.99},1372342.3250000004,1514584.3800000018,1.1036491059182345,0.09862205849125448
pathdb_dirty_node_write,10700279.5,9705142.0,0.9069989246542579,-0.09761401447491617
chain_storage_reads_cache_prefetch_hit,1181.5,1302.0,1.101988997037664,0.09711672614155199
rpc_duration_eth_getBalance_success {quantile=0.5},63438.0,57621.5,0.9083120527128851,-0.0961672890333451
chain_storage_single_reads {quantile=0.5},11054.5,10064.5,0.9104437107060473,-0.0938232041241877
chain_storage_single_reads {quantile=0.75},11054.5,10064.5,0.9104437107060473,-0.0938232041241877
chain_storage_single_reads {quantile=0.95},11054.5,10064.5,0.9104437107060473,-0.0938232041241877
chain_storage_single_reads {quantile=0.9999},11054.5,10064.5,0.9104437107060473,-0.0938232041241877
chain_storage_single_reads {quantile=0.999},11054.5,10064.5,0.9104437107060473,-0.0938232041241877
chain_storage_single_reads {quantile=0.99},11054.5,10064.5,0.9104437107060473,-0.0938232041241877
chain_prefetch_executes {quantile=0.5},117780.0,107281.0,0.9108592290711496,-0.09336691718450678
rpc_duration_eth_getBalance_success {quantile=0.99},1398478.3900000006,1524523.0200000014,1.0901298374728556,0.08629680609476603
txpool_reorgtime {quantile=0.75},184828.375,170475.25,0.9223434983941183,-0.08083756689681845
txpool_reheap {quantile=0.9999},4462.0,4121.0,0.9235768713581354,-0.07950124365366046
txpool_reheap {quantile=0.999},4462.0,4121.0,0.9235768713581354,-0.07950124365366046
txpool_reheap {quantile=0.99},4462.0,4121.0,0.9235768713581354,-0.07950124365366046
rpc_duration_eth_getBalance_success {quantile=0.75},94466.625,87603.75,0.9273513264605356,-0.07542279227040617
chain_validation {quantile=0.75},150083.875,139623.875,0.9303056374310698,-0.07224210442692006
pathdb_lookup_add_time {quantile=0.9999},8259700.0,7688550.5,0.9308510599658584,-0.07165599305739874
pathdb_lookup_add_time {quantile=0.999},8259700.0,7688550.5,0.9308510599658584,-0.07165599305739874
txpool_reorgtime {quantile=0.5},135925.0,126877.5,0.9334375574765496,-0.06888120899656486
filtermaps_maps_rendertime {quantile=0.95},8231251.0,8791805.0,1.0681007054699219,0.0658820296038122
filtermaps_maps_rendertime {quantile=0.9999},8231251.0,8791805.0,1.0681007054699219,0.0658820296038122
filtermaps_maps_rendertime {quantile=0.999},8231251.0,8791805.0,1.0681007054699219,0.0658820296038122
filtermaps_maps_rendertime {quantile=0.99},8231251.0,8791805.0,1.0681007054699219,0.0658820296038122
system_cpu_procload,126.0,118.0,0.9365079365079365,-0.06559728248581323
system_disk_readcount,100886.5,94609.5,0.9377815664137422,-0.06423822872186045
eth_db_chaindata_cache_table_hit,436911.5,465542.0,1.065529289112326,0.06347166078720107
blobpool_pendwait {quantile=0.75},174.5,164.375,0.9419770773638968,-0.05977433871045291
chain_storage_commits {quantile=0.95},1480856.5,1396310.0,0.9429070271157266,-0.058787593875505584
chain_storage_commits {quantile=0.9999},1480856.5,1396310.0,0.9429070271157266,-0.058787593875505584
chain_storage_commits {quantile=0.999},1480856.5,1396310.0,0.9429070271157266,-0.058787593875505584
chain_storage_commits {quantile=0.99},1480856.5,1396310.0,0.9429070271157266,-0.058787593875505584
blobpool_resetwait {quantile=0.5},155.0,146.5,0.9451612903225807,-0.0563996884621246
system_memory_pauses_count,382.0,404.0,1.057591623036649,0.055994269354574785
chain_storage_reads_cache_process_miss,4132.0,3911.5,0.9466360116166506,-0.054840619114393814
rpc_duration_all {quantile=0.5},59349.75,56224.5,0.9473418169410992,-0.05409530378231444
pathdb_lookup_add_time {quantile=0.75},17714.5,18690.0,1.05506788224336,0.05360510821671968
system_memory_held,558071688.0,529931128.0,0.9495753670987158,-0.051740376315135
rpc_duration_all {quantile=0.75},89236.25,84803.625,0.9503270812029865,-0.05094905764067502
rpc_duration_eth_gasPrice_success {quantile=0.5},4219748.5,4012224.5,0.9508207657399487,-0.050429703452779764
rpc_duration_eth_gasPrice_success {quantile=0.75},4219748.5,4012224.5,0.9508207657399487,-0.050429703452779764
rpc_duration_eth_gasPrice_success {quantile=0.95},4219748.5,4012224.5,0.9508207657399487,-0.050429703452779764
rpc_duration_eth_gasPrice_success {quantile=0.9999},4219748.5,4012224.5,0.9508207657399487,-0.050429703452779764
rpc_duration_eth_gasPrice_success {quantile=0.999},4219748.5,4012224.5,0.9508207657399487,-0.050429703452779764
rpc_duration_eth_gasPrice_success {quantile=0.99},4219748.5,4012224.5,0.9508207657399487,-0.050429703452779764
chain_account_reads_cache_process_miss,150.5,143.5,0.9534883720930233,-0.04762804898925459
rpc_duration_eth_getCode_success {quantile=0.5},59024.75,56383.5,0.9552518223287688,-0.045780284958681146
rpc_duration_eth_maxPriorityFeePerGas_success {quantile=0.5},30225.5,28885.5,0.9556665729268333,-0.04534619985530168
rpc_duration_eth_maxPriorityFeePerGas_success {quantile=0.75},30225.5,28885.5,0.9556665729268333,-0.04534619985530168
rpc_duration_eth_maxPriorityFeePerGas_success {quantile=0.95},30225.5,28885.5,0.9556665729268333,-0.04534619985530168
rpc_duration_eth_maxPriorityFeePerGas_success {quantile=0.9999},30225.5,28885.5,0.9556665729268333,-0.04534619985530168
rpc_duration_eth_maxPriorityFeePerGas_success {quantile=0.999},30225.5,28885.5,0.9556665729268333,-0.04534619985530168
rpc_duration_eth_maxPriorityFeePerGas_success {quantile=0.99},30225.5,28885.5,0.9556665729268333,-0.04534619985530168
rpc_duration_eth_chainId_success {quantile=0.75},63800.5,66734.0,1.045979263485396,0.044953540862470005
rpc_duration_eth_chainId_success {quantile=0.95},63800.5,66734.0,1.045979263485396,0.044953540862470005
rpc_duration_eth_chainId_success {quantile=0.9999},63800.5,66734.0,1.045979263485396,0.044953540862470005
rpc_duration_eth_chainId_success {quantile=0.999},63800.5,66734.0,1.045979263485396,0.044953540862470005
rpc_duration_eth_chainId_success {quantile=0.99},63800.5,66734.0,1.045979263485396,0.044953540862470005
pathdb_history_state_time {quantile=0.95},4690026.5,4488957.0,0.957128280618457,-0.0438178519789556
pathdb_history_state_time {quantile=0.9999},4690026.5,4488957.0,0.957128280618457,-0.0438178519789556
pathdb_history_state_time {quantile=0.999},4690026.5,4488957.0,0.957128280618457,-0.0438178519789556
pathdb_history_state_time {quantile=0.99},4690026.5,4488957.0,0.957128280618457,-0.0438178519789556
pathdb_gc_node_count,141.0,135.0,0.9574468085106383,-0.04348511193973878
rpc_duration_eth_getBalance_success {quantile=0.999},4463317.864500006,4660474.236500006,1.0441726038757237,0.043224805177927886
rpc_duration_eth_getBalance_success {quantile=0.9999},4508930.5,4703928.5,1.0432470626903652,0.04233802494792905
pathdb_history_state_time {quantile=0.75},4678315.0,4488957.0,0.9595243159128874,-0.04131762158046647
rpc_duration_eth_chainId_success {quantile=0.5},45744.75,47614.5,1.0408735428655747,0.04006030565988426
blobpool_resetwait {quantile=0.9999},516.5,537.5,1.0406582768635044,0.03985347144212469
blobpool_resetwait {quantile=0.999},516.5,537.5,1.0406582768635044,0.03985347144212469
blobpool_resetwait {quantile=0.99},516.5,537.5,1.0406582768635044,0.03985347144212469
filtermaps_maps_writetime {quantile=0.75},9523694.0,9161338.0,0.9619521584796824,-0.03879056086317461
system_cpu_sysload,145.5,140.0,0.9621993127147767,-0.03853366400224288
pathdb_lookup_add_time {quantile=0.99},7273834.60000003,7001671.560000017,0.9625832789763996,-0.03813469295130581
rpc_duration_eth_getTransactionByHash_success {quantile=0.75},1241098.625,1287052.125,1.037026469189747,0.03635745369477964
rpc_duration_eth_getTransactionCount_success {quantile=0.9999},4893849.0,4719795.5,0.9644342316242287,-0.036213638049744715
chain_code_reads {quantile=0.5},54488.5,52556.0,0.9645338007102416,-0.03611040244974271
chain_code_reads {quantile=0.75},54488.5,52556.0,0.9645338007102416,-0.03611040244974271
chain_code_reads {quantile=0.95},54488.5,52556.0,0.9645338007102416,-0.03611040244974271
chain_code_reads {quantile=0.9999},54488.5,52556.0,0.9645338007102416,-0.03611040244974271
chain_code_reads {quantile=0.999},54488.5,52556.0,0.9645338007102416,-0.03611040244974271
chain_code_reads {quantile=0.99},54488.5,52556.0,0.9645338007102416,-0.03611040244974271
rpc_duration_eth_getTransactionByHash_success {quantile=0.5},270470.5,260950.5,0.9648020763817126,-0.035832300874599314
rpc_duration_eth_getTransactionCount_success {quantile=0.5},57224.25,55230.5,0.9651590016470291,-0.03546242266985303
eth_db_chaindata_disk_size,98499030745.5,95067742369.0,0.9651642422211676,-0.03545699293247076
rpc_duration_eth_blobBaseFee_success {quantile=0.5},34488.0,35730.5,1.0360270238923683,0.03539322833528122
rpc_duration_eth_blobBaseFee_success {quantile=0.75},34488.0,35730.5,1.0360270238923683,0.03539322833528122
rpc_duration_eth_blobBaseFee_success {quantile=0.95},34488.0,35730.5,1.0360270238923683,0.03539322833528122
rpc_duration_eth_blobBaseFee_success {quantile=0.9999},34488.0,35730.5,1.0360270238923683,0.03539322833528122
rpc_duration_eth_blobBaseFee_success {quantile=0.999},34488.0,35730.5,1.0360270238923683,0.03539322833528122
rpc_duration_eth_blobBaseFee_success {quantile=0.99},34488.0,35730.5,1.0360270238923683,0.03539322833528122
pathdb_lookup_add_time {quantile=0.5},6019.0,6233.5,1.0356371490280778,0.03501684023725888
blobpool_resettime {quantile=0.9999},1823741.5,1764329.5,0.9674230147200138,-0.03311942859299086
blobpool_resettime {quantile=0.999},1823741.5,1764329.5,0.9674230147200138,-0.03311942859299086
blobpool_resettime {quantile=0.99},1823741.5,1764329.5,0.9674230147200138,-0.03311942859299086
rpc_duration_eth_getCode_success {quantile=0.75},88502.0,85629.125,0.9675388691780976,-0.03299968002410549
pathdb_dirty_state_write,10505065.0,10174987.0,0.9685791568162596,-0.03192506812100391
chain_storage_reads_cache_prefetch_miss,4302.0,4168.0,0.9688516968851697,-0.0316437263944725
rpc_duration_eth_getTransactionCount_success {quantile=0.999},4834554.162500006,4684663.798000004,0.9689960315963257,-0.03149476245958578
rpc_duration_eth_getTransactionReceipt_success {quantile=0.5},152646.5,148323.0,0.9716763895667441,-0.02873246250054383
rpc_duration_eth_getTransactionReceipt_success {quantile=0.75},152646.5,148323.0,0.9716763895667441,-0.02873246250054383
rpc_duration_eth_getTransactionReceipt_success {quantile=0.95},152646.5,148323.0,0.9716763895667441,-0.02873246250054383
rpc_duration_eth_getTransactionReceipt_success {quantile=0.9999},152646.5,148323.0,0.9716763895667441,-0.02873246250054383
rpc_duration_eth_getTransactionReceipt_success {quantile=0.999},152646.5,148323.0,0.9716763895667441,-0.02873246250054383
rpc_duration_eth_getTransactionReceipt_success {quantile=0.99},152646.5,148323.0,0.9716763895667441,-0.02873246250054383
eth_db_chaindata_ancient_read,66141.5,64422.0,0.9740027063190282,-0.026341196781831562
pathdb_history_state_time {quantile=0.5},90932.0,93332.5,1.0263988474904324,0.026056411452751588
eth_db_chaindata_cache_block_hit,1516527.0,1555882.0,1.025950741397944,0.025619735262656998
eth_db_chaindata_cache_table_miss,22049.0,21516.0,0.9758265680983265,-0.024470404979526766
rpc_duration_all {quantile=0.9999},4761350.0,4650793.5,0.9767804299200857,-0.023493391275690324
eth_db_chaindata_cache_block_miss,61529.0,62925.0,1.0226884883550846,0.022434932635731937
rpc_duration_eth_getTransactionByHash_success {quantile=0.95},3120281.0,3060155.0,0.980730581636718,-0.019457493592216647
rpc_duration_eth_getTransactionByHash_success {quantile=0.9999},3120281.0,3060155.0,0.980730581636718,-0.019457493592216647
rpc_duration_eth_getTransactionByHash_success {quantile=0.999},3120281.0,3060155.0,0.980730581636718,-0.019457493592216647
