config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,8,4,erc20_approve,7,11755,21000,1,0.0459,0.4541,22.185,4.9191,29.6458,0.7084,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,8,11756,0,0,0.0268,0.7681,0.1916,0.4426,1.6162,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,8,11757,83880,2,0.1065,0.8695,1.7432,7.9842,10.8747,7.7133,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,8,11758,66803360,4,92.8655,227.5677,693.1348,176.733,1190.6679,56.1058,8,2913,2,1431,4,0,2913,0,0,0,4,4,50,525,2388,18.02,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,8,11759,32731483,2,37.6522,114.9233,330.6026,71.9026,555.2656,58.9474,8,1428,2,1431,4,0,1428,0,0,0,4,4,50,383,1045,26.82,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,8,11760,21000,1,0.0468,0.5159,4.9356,4.9445,10.5916,1.9827,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,9,11761,0,0,0.0411,1.1312,0.2887,0.4759,2.1389,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,9,11762,83880,2,0.0754,0.787,2.1406,9.2465,12.7419,6.583,11,0,0,0,3,0,0,0,1,87,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,9,11763,66803360,4,88.5396,260.1848,700.0112,183.098,1232.1381,54.2174,8,2913,2,1431,4,0,2913,0,0,0,4,4,50,526,2387,18.06,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,9,11764,32731483,2,41.453,119.2326,335.8984,87.7272,584.5066,55.9985,8,1428,2,1431,4,0,1428,0,0,0,4,4,50,425,1003,29.76,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,9,11765,21000,1,0.0528,0.5425,5.0823,4.8581,10.7454,1.9543,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,10,11766,0,0,0.0271,0.5696,0.1503,0.3741,1.2968,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,10,11767,83880,2,0.0707,0.688,1.7164,7.9889,10.6801,7.8538,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,8,4,erc20_approve,10,11768,66803360,4,90.6376,246.3524,682.8854,178.8887,1199.0898,55.7117,8,2913,2,1431,4,0,2913,0,0,0,4,4,50,481,2432,16.51,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,10,11769,32731483,2,37.1631,109.7019,334.5963,100.6141,582.2989,56.2108,8,1428,2,1431,4,0,1428,0,0,0,4,4,50,489,939,34.24,2,0,100,1431,0
pbt,bintrie,8,4,erc20_approve,10,11770,21000,1,0.0624,0.5645,5.0558,4.8197,10.6462,1.9725,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
